"Name","Score"
"PPFIA3",2.20419780343664e-07
"TRIM36",2.29379310200947e-07
"CTC-535M15.2",2.32711640703567e-07
"C19orf70",2.3316211068788e-07
"SLC17A5",2.3355099650471e-07
"TECRP1",2.35237278191551e-07
"ATP1A3",2.36933693748702e-07
"DYNLL1",2.40263403783503e-07
"PSMA7",2.41219388098917e-07
"XKR6",2.41219388098917e-07
"PDE4B",2.41219388098917e-07
"SLC35G4",2.42084231136859e-07
"TSC22D1",2.42084231136859e-07
"RYR2",2.42951656564527e-07
"FAM189B",2.43821670546978e-07
"JPH3",2.43821670546978e-07
"CHD5",2.45569488891629e-07
"PGP",2.49096460726992e-07
"CAMK2G",2.49984768142857e-07
"CSNK1E",2.49984768142857e-07
"SRP14",2.51769304059891e-07
"CNTN1",2.52665545101849e-07
"ACHE",2.54466004788323e-07
"DGUOK",2.54983947971104e-07
"CAPZA1",2.56277143322913e-07
"ARHGAP35",2.5809901131615e-07
"UCK2",2.59013984724672e-07
"MORF4L1",2.59931659558246e-07
"TRAPPC6A",2.60852042193794e-07
"DNAJC5",2.63629500850827e-07
"ADD2",2.63629500850827e-07
"CTNNA2",2.64560778689351e-07
"CTD-2410N18.5",2.65494796383971e-07
"PRMT2",2.6737107713215e-07
"ATP2C1",2.68313353109452e-07
"TOMM20",2.70415814277954e-07
"PSMB5",2.73066348528551e-07
"CCM2",2.74025316311366e-07
"IZUMO4",2.75951672887804e-07
"SCN10A",2.7788930126318e-07
"PDE4D",2.79838254140111e-07
"CDK5R1",2.79838254140111e-07
"CHCHD10",2.84760528554526e-07
"PTGES3",2.86584367156914e-07
"MBNL2",2.90762293143035e-07
"PAFAH1B1",2.90762293143035e-07
"HCFC1R1",2.94952988465418e-07
"MAPK8IP3",2.96869103142439e-07
"AUH",2.96869103142439e-07
"CLIP3",2.97897220251246e-07
"WDR5",3.02039411482563e-07
"UBE2E2",3.04128436807619e-07
"LARP1",3.08342622557497e-07
"RNF157",3.11535098399007e-07
"RHEB",3.16917090276538e-07
"WSB2",3.18002731576508e-07
"ADAP1",3.25792519938718e-07
"HES4",3.26799963597126e-07
"MSMO1",3.29030671680071e-07
"DAPK3",3.301507750444e-07
"CTC-510F12.4",3.369383393073e-07
"ATXN10",3.38080824843256e-07
"NDRG3",3.40375482539732e-07
"TPD52L2",3.41527669283037e-07
"OCIAD1",3.42683104365473e-07
"IMMT",3.43841795109298e-07
"FRS3",3.46168972932034e-07
"WBP2",3.47337474717378e-07
"TRA2A",3.50862720068626e-07
"OSTF1",3.53229407630339e-07
"RP11-638I2.4",3.53229407630339e-07
"MORF4L2",3.58002707855948e-07
"PAM",3.58002707855948e-07
"STXBP1",3.60409439966146e-07
"PIRT",3.62829640039947e-07
"NME3",3.640448093758e-07
"FXYD7",3.666447055889e-07
"UBE2O",3.67710685182234e-07
"ANK1",3.70171651307512e-07
"RP11-302B13.5",3.72646327510876e-07
"ZNF428",3.751347748276e-07
"ACTR2",3.78893400655965e-07
"CLASP2",3.82683356866839e-07
"PTMA",3.91649601993919e-07
"LPCAT4",3.92944667044171e-07
"RAB6B",3.95545505060353e-07
"NUP93",3.99473649877946e-07
"GAB2",4.0343424955558e-07
"CCNY",4.07427518256834e-07
"HS3ST5",4.08765904775219e-07
"HK1",4.14156148955922e-07
"DYNC1H1",4.14156148955922e-07
"GPHN",4.18237590133833e-07
"GGT7",4.25114463310044e-07
"CTD-2034I4.1",4.2928562763032e-07
"OPTN",4.30683571487277e-07
"RP11-519G16.2",4.32085306889929e-07
"PAIP2",4.32085306889929e-07
"TMCC1",4.37730328605638e-07
"RAB10",4.39151145339976e-07
"ACKR1",4.39841137292343e-07
"CASKIN1",4.44872906179936e-07
"RP11-57A19.4",4.49204878639948e-07
"PSMB7",4.49204878639948e-07
"RHBDD3",4.50656657252764e-07
"PUM3",4.60929000155248e-07
"AES",4.66885999220962e-07
"SIN3B",4.69888471503212e-07
"PAK2",4.72907016934673e-07
"RALA",4.74422338560877e-07
"PLEKHM2",4.80524152334223e-07
"RP11-618P17.4",4.82135989229725e-07
"UBC",4.85276873783453e-07
"SLBP",4.86691225454914e-07
"SCN7A",4.88243255723653e-07
"PVALB",4.97642311598495e-07
"SDCBP",4.98004140071046e-07
"IL1RAPL1",5.0080863620859e-07
"C6orf62",5.02398083110961e-07
"CPEB3",5.02398083110961e-07
"AC004076.7",5.10408518672533e-07
"TBC1D13",5.15265661812148e-07
"GIPC2",5.15265661812148e-07
"SYT6",5.16893243531379e-07
"RAB2A",5.20161261917979e-07
"MARCH2",5.21801716614711e-07
"MGAT3",5.2509556219507e-07
"SST",5.26748971193416e-07
"ERI3",5.2840671643078e-07
"SMS",5.30068807000192e-07
"ELOVL5",5.31735252008972e-07
"SCN9A",5.36760804959416e-07
"SSBP4",5.40133113401973e-07
