Name,Human_Score,Mouse_Score
ALDH8A1,0.077721586,1
ALDH9A1,0.140153004,5.41E-06
ALDOA,7.14E-08,0.246887681
ALDOB,1,1
ALG1,0.061721484,8.68E-05
ALG10,1,0.005206563
ALG10B,0.649251108,0.005206563
ALG11,1,6.59E-05
ALG12,0.662567271,0.001593862
ALG13,0.060293402,0.002413296
ALG14,0.138573051,1.38E-07
ALG1L2,0.373981115,8.68E-05
ALG2,0.086928257,7.47E-09
ALG3,0.064173779,0.000128882
ALG5,0.156559851,3.02E-05
ALG6,0.152980357,0.001468793
ALG8,0.057180629,0.000373264
ALG9,0.607764973,0.002450015
ALK,0.061444685,1
ALKBH1,0.022719121,0.150672159
ALKBH2,1,0.007420537
ALKBH3,0.097310448,3.75E-06
ALKBH4,0.003864496,0.002072425
ALKBH5,0.000209769,0.000388258
ALKBH7,0.000933715,1.56E-06
ALKBH8,0.088700866,0.000858974
ALMS1,0.078837148,1
ALOX12,1,1
ALOX12B,1,1
ALOX15B,0.848864736,1
ALOX5,0.782116558,1
ALOX5AP,0.775009061,0.070736352
ALOXE3,1,1
ALPK1,0.16392849,1
ALPK2,1,1
ALPL,0.191343242,1
ALS2,0.3071789,0.003802343
ALS2CL,1,1
ALX3,1,1
ALX4,1,1
ALYREF,0.007220552,0.501201015
AMACR,1,2.78E-05
AMBN,1,1
AMBRA1,1.17E-05,0.00171647
AMD1,0.020367641,0.469331105
AMDHD2,0.000840718,0.000614395
AMER1,1,0.068481075
AMER2,0.188281857,0.005937408
AMER3,0.045886394,0.009232539
AMFR,0.000159522,2.44E-07
AMH,1,1
AMHR2,1,0.422625093
AMIGO1,0.018987805,3.94E-06
AMIGO2,1,0.000141597
AMIGO3,1,2.05E-07
AMMECR1,1,1
AMMECR1L,0.008626181,0.000424101
AMN,1,1
AMN1,3.55E-05,0.00053019
AMOT,1,1
AMOTL1,0.149643266,7.76E-06
AMPD1,1,1
AMPD2,0.025936618,7.27E-06
