"HGNC.symbol","Score"
"ANKMY2",0.000106365034299745
"ANKRA2",5.84197905813547e-05
"ANKRD10",0.000142864536087347
"ANKRD11",0.000323824295480269
"ANKRD12",6.09586056375704e-05
"ANKRD13A",0.000383975209475988
"ANKRD13B",8.50281705624753e-05
"ANKRD13C",0.00275778829422281
"ANKRD13D",1.86418113967111e-07
"ANKRD16",0.00101519100518066
"ANKRD17",2.36450947440151e-05
"ANKRD2",1
"ANKRD23",1
"ANKRD24",0.0082935114334162
"ANKRD27",7.51119588667953e-07
"ANKRD28",0.383842398415187
"ANKRD29",9.28128084064549e-05
"ANKRD33",1
"ANKRD33B",0.0103587040648065
"ANKRD34A",0.0475996274174543
"ANKRD34B",1
"ANKRD34C",0.303297184146013
"ANKRD35",0.0235746014812752
"ANKRD37",0.0278078485185469
"ANKRD39",0.008592265528144
"ANKRD40",1.54640699590997e-05
"ANKRD42",0.000810664119964797
"ANKRD44",0.0213723278582925
"ANKRD45",6.59384391284495e-05
"ANKRD46",1.19729216003526e-12
"ANKRD49",0.000604997396288321
"ANKRD50",0.000370628862925562
"ANKRD52",0.0117179335879504
"ANKRD54",0.00278532693834095
"ANKRD55",0.00236709881920423
"ANKRD6",0.00249845422154456
"ANKRD60",1
"ANKRD61",1
"ANKRD66",1
"ANKRD9",0.000312838880942243
"ANKS1A",0.00541252524361318
"ANKS1B",0.00641864864708274
"ANKS3",0.000405009875840694
"ANKS6",0.0600280753640489
"ANKUB1",1
"ANKZF1",0.0313763221357994
"ANLN",0.0125861141720557
"ANO1",0.0422291713784942
"ANO10",9.4006944950986e-05
"ANO2",1
"ANO3",8.80344398594165e-07
"ANO4",0.00024203364474439
"ANO5",1
"ANO6",1.2273642058103e-05
"ANO7",1
"ANO8",1
"ANP32A",0.00206713098862345
"ANP32D",0.00206713098862345
"ANP32B",2.21247327201529e-06
"ANP32E",3.84947554441402e-06
"ANPEP",1
"ANTKMT",1
"ANTXR1",0.0188613027379055
"ANTXR2",1.10879362034129e-05
"ANXA1",1
"ANXA11",0.0139545559836433
"ANXA13",1
"ANXA3",0.0862912162588274
"ANXA4",0.00125038987007356
"ANXA5",3.69649979320266e-21
"ANXA6",8.78792129299374e-12
"ANXA7",2.61816228077042e-10
"ANXA8",1
"ANXA8L1",1
"ANXA9",1
"AOC2",1
"AOC3",1
"AOPEP",1
"AOX1",0.000348717643971143
"AP1AR",1.8119953519002e-06
"AP1B1",2.76367942422201e-08
"AP1G1",8.30540738634399e-05
"AP1G2",0.860514235649861
"AP1M1",1.99716471940625e-10
"AP1M2",1
"AP1S1",6.5122602670258e-12
"AP1S2",5.75060564996956e-07
"AP1S3",1
"AP2A1",3.50384203346561e-07
"AP2A2",2.21248984369997e-10
"AP2B1",1.77761579532549e-05
"AP2M1",3.41531498608987e-09
"AP2S1",4.02618067155146e-15
"AP3B1",7.06034811061624e-05
"AP3B2",2.92546485665509e-07
"AP3D1",7.62508602297371e-07
"AP3M1",1.21675894232801e-07
"AP3M2",6.00771855167146e-05
"AP3S1",7.044047623047e-07
"AP3S2",6.60321221325126e-07
"AP4B1",0.0398045651080807
"AP4E1",0.0013990537219516
"AP4M1",0.0729758828446116
"AP4S1",8.3427705423124e-06
"AP5B1",0.323476791097093
"AP5M1",0.0194461207524652
"AP5S1",0.000286370605405089
"AP5Z1",0.00456412580241729
"APAF1",0.0648870355433149
"APBA1",5.38650987930039e-05
"APBA2",1.24427145555335e-06
"APBA3",0.000300498464741829
"APBB1",2.59638974620975e-10
"APBB1IP",1
"APBB2",9.12715296480157e-06
"APBB3",1
"APC",0.000136167665872729
"APC2",0.0117521035933784
"APCDD1",1
"APEH",0.000355526573469387
"APEX1",0.000496978903846311
"APEX2",0.011659789187078
"APH1A",0.00323711425424063
"APH1B",0.103578809822211
"API5",1.52795458057079e-07
"APIP",4.37922973151328e-07
"APLF",0.00280614307067598
"APLN",0.631907985410825
"APLNR",1
"APLP1",1.64265013383741e-09
"APLP2",4.07455334196324e-14
"APMAP",3.69281081866588e-07
"APOA2",1
"APOBEC1",1
"APOBEC2",1
"APOBEC3H",1
"APOBR",0.564808227021121
"APOC1",1
"APOC2",1
"APOC4-APOC2",1
"APOC4",1
"APOD",0.000206295977834182
"APOE",1.15697678260163e-10
"APOH",0.0911932589631727
"APOL1",1
"APOL2",1
"APOL3",1
"APOL4",1
"APOL6",1
"APOLD1",0.825940719374579
"APOO",0.00240737547842909
"APOOL",0.000608506312994877
"APP",5.61219583637592e-11
"APPBP2",2.30528684527406e-05
"APPL1",1.04209880615761e-05
"APPL2",5.87050429053413e-05
"APRT",1.11904667645512e-07
"APTX",2.27770280610403e-05
"AQP1",5.09128862393112e-07
"AQP11",0.0428162871886383
"AQP2",1
"AQP3",1
"AQP4",1
"AQP5",1
"AQP6",1
"AQP7",1
"AQP8",1
"AQP9",1
"AQR",0.000389041544414737
"AR",0.00892974368338754
"ARAF",9.15439980428613e-11
"ARAP1",0.000386695808062432
"ARAP2",0.00346575613411644
"ARAP3",1
"ARC",0.0694462381027915
"ARCN1",8.07512417744292e-06
"AREG",0.136174634680739
"AREL1",0.00251697812629499
"ARF1",1.684645360781e-15
"ARL17A",3.55427290443685e-05
"ARL17B",3.55427290443685e-05
"ARF3",7.11718463166865e-10
"ARF4",3.75317899543631e-11
"ARF5",2.98867752917259e-08
"ARF6",8.08349281655072e-05
"ARFGAP1",2.71362296869703e-05
"ARFGAP2",0.00155562107943515
"ARFGAP3",4.42485728164973e-08
"ARFGEF1",0.000159774911478538
"ARFGEF2",2.57761320654866e-05
"ARFGEF3",1
"ARFIP1",0.00156538487038033
"ARFIP2",1.04436394268455e-06
"ARFRP1",3.64167063602048e-05
"ARG1",1
"ARG2",1
"ARGLU1",1.25204820408443e-05
"ARHGAP1",1.88669569644673e-08
"ARHGAP10",0.578086104044738
"ARHGAP11A",0.483014759119107
"ARHGAP11B",0.483014759119107
"ARHGAP12",1.87492124959807e-05
"ARHGAP15",0.00134422701757351
"ARHGAP17",3.2978467142155e-06
"ARHGAP18",1
"ARHGAP19",0.0487392725367657
"ARHGAP19-SLIT1",0.0487392725367657
"ARHGAP20",0.0450535897977227
"ARHGAP21",3.94048294972499e-05
"ARHGAP22",0.000424113338683161
"ARHGAP23",0.00489931934385827
